Date,CAT,DE,HON,GE,LMT,NOC,RTX,BA,MMM,ITW,EMR,ETN,PH,GD,UPS,FDX,CMI,DAL,LUV,UNP,NSC,CSX,ROP,ROK,OTIS
2020-12-29,160.62879943847656,248.7255401611328,177.9955596923828,51.5090217590332,310.8130798339844,278.31134033203125,62.7163200378418,216.25,120.89929962158203,178.6342010498047,71.42072296142578,107.96346282958984,248.94760131835938,131.9332275390625,137.50387573242188,238.8096466064453,197.22381591796875,38.9427604675293,43.12483215332031,183.84527587890625,210.883056640625,27.840055465698242,407.7615966796875,226.3904571533203,60.930423736572266
2020-12-30,163.71128845214844,250.201416015625,179.54461669921875,52.24069595336914,311.04144287109375,279.809326171875,63.62574005126953,216.6699981689453,121.08011627197266,181.23382568359375,71.94347381591797,109.93545532226562,252.77357482910156,132.60385131835938,135.22610473632812,237.36709594726562,199.2608184814453,39.4583625793457,43.36777877807617,185.24822998046875,212.676513671875,28.151710510253906,409.9189147949219,228.62994384765625,61.88579559326172
2020-12-31,165.51174926757812,252.92762756347656,181.03407287597656,52.679691314697266,311.7615966796875,281.7603454589844,63.75950241088867,214.05999755859375,121.5530014038086,182.7667694091797,72.43922424316406,110.70954895019531,254.8221893310547,133.06881713867188,136.9913787841797,237.0383758544922,201.12954711914062,39.11786651611328,43.5546760559082,187.2627410888672,214.14556884765625,28.282602310180664,418.9273986816406,230.1994171142578,62.655677795410156
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,165.6299591064453,251.60220336914062,176.99119567871094,51.070037841796875,302.6803894042969,272.5507507324219,61.0133171081543,202.72000122070312,119.52236938476562,182.0944366455078,70.31208801269531,109.42864990234375,248.8446807861328,130.49363708496094,133.2493133544922,231.1676483154297,196.0548095703125,37.678062438964844,42.087581634521484,182.57717895507812,210.38734436035156,27.422435760498047,407.7130126953125,226.216064453125,60.83768081665039
2021-01-05,166.9848175048828,257.8442077636719,177.42529296875,52.53336715698242,306.32525634765625,274.2429504394531,61.8960075378418,211.6300048828125,119.3207015991211,182.71299743652344,71.52886962890625,110.58975219726562,254.45738220214844,130.55625915527344,131.39459228515625,231.15855407714844,196.28509521484375,38.47579574584961,42.648258209228516,184.81654357910156,212.4331512451172,27.886804580688477,407.35345458984375,226.76678466796875,60.383174896240234
2021-01-06,176.27798461914062,272.960693359375,180.65956115722656,55.41123580932617,305.65765380859375,276.60076904296875,62.662803649902344,211.02999877929688,121.1357421875,187.39239501953125,73.9354019165039,116.52422332763672,262.7171936035156,133.8914794921875,131.0041046142578,231.5054473876953,206.87733459472656,39.283260345458984,43.685489654541016,188.6837615966797,219.31871032714844,28.628543853759766,411.45428466796875,237.3125457763672,62.062042236328125
2021-01-07,176.6143798828125,281.76922607421875,180.95745849609375,54.97224044799805,300.8448791503906,270.5350646972656,62.21700668334961,212.7100067138672,118.0272216796875,187.58963012695312,73.97147369384766,118.95698547363281,263.1943664550781,135.66189575195312,129.34461975097656,224.6304168701172,211.8546600341797,39.1373291015625,44.227474212646484,191.30982971191406,225.1768341064453,29.304828643798828,418.98895263671875,238.21202087402344,62.868995666503906
2021-01-08,176.64163208007812,276.2980041503906,178.76153564453125,55.31367111206055,295.1800842285156,266.605224609375,62.2883186340332,209.89999389648438,115.87140655517578,187.3207244873047,73.74612426757812,116.92045593261719,262.5395812988281,134.8124542236328,128.84840393066406,223.65347290039062,207.51504516601562,38.93302536010742,43.900413513183594,196.79591369628906,228.95309448242188,29.868925094604492,419.4949035644531,240.29550170898438,61.98783874511719
2021-01-11,176.27798461914062,277.2474060058594,177.34017944335938,55.8502311706543,296.5678405761719,272.5323181152344,62.234840393066406,206.7899932861328,114.88389587402344,186.52284240722656,74.4671859741211,116.99419403076172,265.68255615234375,135.7155303955078,131.67117309570312,223.97308349609375,209.6139678955078,38.339599609375,44.330265045166016,195.47386169433594,229.2504425048828,29.915674209594727,426.72491455078125,241.01138305664062,61.55187225341797
